,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,1.0,35.0,,16.0,85.15,3030.6,0.0,0.0,892.85,3923.45,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.0,,,,1.0,37.0,0.0,0,1,1,0,1,0,0,0,1,0,1
1,1.0,1.0,0.0,29.0,35.9,35.9,0.0,0.0,0.0,35.9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1.0,34.903052,-118.411251,14931.0,1.0,54.0,0.0,0,0,1,0,1,0,1,0,1,0,1
2,1.0,35.0,41.02,,20.05,746.75,,0.0,1435.7,2182.45,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,,33.721917,-118.043237,32304.0,1.0,,,0,1,0,1,1,0,0,0,0,1,0
3,1.0,7.0,21.58,71.0,74.65,544.55,0.0,10.0,,705.6099999999999,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3.0,,-122.000887,37570.0,1.0,23.0,0.0,0,1,0,1,1,0,1,0,1,0,1
4,1.0,68.0,17.12,0.0,25.8,1911.5,0.0,,1164.16,3075.66,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,,39.672813,-120.456699,322.0,1.0,41.0,0.0,1,0,1,0,0,0,0,1,1,0,0
5,1.0,2.0,,27.0,85.65,181.5,0.0,0.0,80.86,262.36,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,,,,,1.0,22.0,0.0,0,0,0,1,1,0,1,0,1,0,1
6,1.0,1.0,32.73,0.0,25.4,25.4,,0.0,,58.13,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3.0,34.018354,-117.85492,45118.0,,,,0,0,0,0,0,0,0,0,0,0,
7,1.0,9.0,42.39,,65.6,593.3,0.0,0.0,,974.81,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,,,,,1.0,37.0,0.0,1,0,0,0,1,0,0,1,0,0,
8,1.0,36.0,8.5,0.0,18.55,689.0,,0.0,306.0,995.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,3.0,33.958149,-118.308441,47107.0,1.0,33.0,0.0,0,1,1,0,1,0,1,0,1,0,0
9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.0,32.0,0.0,1,0,1,0,1,0,1,0,0,0,0
