,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1.0,0.0,35.0,22.905796402744297,16.0,85.15,3030.6,0.0,0.0,892.85,3923.45,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0
1,1.0,0.0,1.0,0.0,29.0,35.9,35.9,0.0,0.0,0.0,35.9,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0
2,1.0,4.0,35.0,41.02,20.32486556647506,20.05,746.75,1.8904709809011682,0.0,1435.7,2182.45,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
3,1.0,0.0,7.0,21.58,71.0,74.65,544.55,0.0,10.0,750.3808752086038,705.6099999999999,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0
4,1.0,8.0,68.0,17.12,0.0,25.8,1911.5,0.0,6.797700723159651,1164.16,3075.66,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
5,1.0,0.0,2.0,22.905796402744297,27.0,85.65,181.5,0.0,0.0,80.86,262.36,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
6,1.0,0.0,1.0,32.73,0.0,25.4,25.4,1.8904709809011682,0.0,750.3808752086038,58.13,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
7,1.0,2.0,9.0,42.39,20.32486556647506,65.6,593.3,0.0,0.0,750.3808752086038,974.81,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
8,1.0,0.0,36.0,8.5,0.0,18.55,689.0,1.8904709809011682,0.0,306.0,995.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
9,1.0,1.929167439273132,32.53866122751715,22.905796402744297,20.32486556647506,64.59322269608752,2280.6734637493046,1.8904709809011682,6.797700723159651,750.3808752086038,3044.441077322455,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
